kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL44775H1,true,"2012-02-16",EE00964505,6415662.11,677832.43,"113020560","Muu kolme või enama korteriga elamu","kasutusel",2548.2,"F","","Võru maakond, Võru linn, Tartu tn 31"
KL44778H1,true,"2012-02-16",ME00957162,6430606.49,613552.18,"111031724","Büroohoone","kasutusel",136.0,"C","","Valga maakond, Tõrva linn, Veski tn 5"
KL44791H1,true,"2012-02-22",ME00640984,6590506.26,541039.09,"101021450","Büroohoone","kasutusel",1575.8,"H","2010-01-04","Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 52/1"
KL44791H2,true,"2012-02-22",ME00640985,6590531.42,541109.78,"101021451","Administratiivhoone","kasutusel",200.2,"G","2010-01-04","Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 52/2"
KL44792H1,true,"2012-02-22",ME00641203,6590536.21,541082.42,"101021718","Administratiivhoone","kasutusel",3114.0,"G","2010-01-04","Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tööstuse tn 52a"
KL44794H1,true,"2012-02-22",ME02009587,6584818.32,693765.95,"120601989","Kohtuhoone","kasutusel",4035.0,"B","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Kooli tn 2a"
KL44795H1,true,"2012-02-28",ME02009587,6584818.32,693765.95,"120601989","Kohtuhoone","kasutusel",4035.0,"B","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Kooli tn 2a"
KL44823H1,true,"2012-02-27",ME01174297,6541488.64,428413.82,"115005398","Büroohoone","kasutusel",1059.9,"H","","Hiiu maakond, Hiiu vald, Kärdla linn, Sadama tn 26"
KL44900H1,true,"2012-02-28",ME01174297,6541488.64,428413.82,"115005398","Büroohoone","kasutusel",1059.9,"H","","Hiiu maakond, Hiiu vald, Kärdla linn, Sadama tn 26"
KL44900H2,true,"2012-02-28",ME01128952,6541498.54,428412.17,"120253629","Muu teenindushoone","kasutusel",417.0,"G","","Hiiu maakond, Hiiu vald, Kärdla linn, Sadama tn 26"
KL44905H1,true,"2012-02-28",ME02009587,6584818.32,693765.95,"120601989","Kohtuhoone","kasutusel",4035.0,"B","","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Kooli tn 2a"
KL44906H1,true,"2012-02-29",ME01174297,6541488.64,428413.82,"115005398","Büroohoone","kasutusel",1059.9,"H","","Hiiu maakond, Hiiu vald, Kärdla linn, Sadama tn 26"
KL44906H2,true,"2012-02-29",ME01128952,6541498.54,428412.17,"120253629","Muu teenindushoone","kasutusel",417.0,"G","","Hiiu maakond, Hiiu vald, Kärdla linn, Sadama tn 26"
KL44907H1,true,"2012-02-28",ME01013671,6588861.95,738652.33,"118001217","Kohtuhoone","kasutusel",2275.3,"F","2009-01-04","Ida-Viru maakond, Narva linn, 1. Mai tn 2"
KL44911H2,true,"1997-03-24",ME00664781,6584636.24,694634.88,"102006740","Teadus- ja metoodikaasutuse hoone","kasutusel",2534.2,"E","2009-11-23","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Pargi tn 15"
KL44916H1,true,"2012-02-29",EE01012711,6579596.67,503000.9,"116016490","Muu kolme või enama korteriga elamu","kasutusel",4877.4,"D","2009-06-08","Harju maakond, Paldiski linn, Rae tn 29"
KL44917H1,true,"2012-03-01",ME00985111,6585784.59,541840.51,"120276453","Büroohoone","kasutusel",3615.7,"","","Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 139"
KL45018H1,true,"2012-06-05",ME01066869,6542112.98,664850.71,"120193778","Klubi, rahvamaja","kasutusel",2988.9,"D","","Ida-Viru maakond, Avinurme vald, Avinurme alevik, Võidu tn 9"
KL45056H6,true,"2012-03-19",ME01088862,6589062.41,547582.42,"120222541","Sisekaitse- või kaitseväehoone","kasutusel",4655.0,"G","2009-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, P. Pinna tn 4"
KL45067H3,true,"2012-10-17",ME00644558,6584373.31,540123.76,"101026040","Muu tööstuse laohoone","kasutusel",1282.2,"F","2010-01-04","Harju maakond, Tallinn, Kristiine linnaosa, Rahumäe tee 6/6"
KL45067H4,true,"2012-10-17",ME00644559,6584340.07,540096.56,"101026041","Muu tööstuse laohoone","kasutusel",465.6,"","","Harju maakond, Tallinn, Kristiine linnaosa, Rahumäe tee 6/7"
KL45068H1,true,"2012-05-08",ME00975705,6574681.75,547563.98,"116007431","Büroohoone","kasutusel",3244.6,"C","2009-09-01","Harju maakond, Kiili vald, Kiili alev, Nabala tee 2a"
KL45079H1,true,"2012-03-20",ME01063195,6579867.12,550825.68,"116031443","Muu tervishoiuhoone, nagu näiteks vereülekandejaam","kasutusel",386.1,"","","Harju maakond, Rae vald, Jüri alevik, Aaviku tee 1"
KL45089H1,true,"2012-03-21",ME00935943,6560613.39,620421.49,"108015636","Administratiivhoone","kasutusel",1129.3,"G","2009-09-07","Lääne-Viru maakond, Tamsalu vald, Tamsalu linn, Tehnika tn 1a"
KL45100H1,true,"2012-03-22",ME01659320,6499998.91,682189.45,"120270436","Muu haridus- või teadushoone, nagu näiteks labor, õppetöökoda, ilmajaam ja observatoorium","kasutusel",1412.8,"","","Tartu maakond, Alatskivi vald, Alatskivi alevik, Tartu mnt 1"
KL45271H1,true,"2012-03-30",EE00664215,6585061.07,694281.99,"102006107","Muu kolme või enama korteriga elamu","kasutusel",1854.9,"D","2009-12-31","Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Vahe tn 10"
KL45272H1,true,"2012-03-30",ME00645237,6587896.41,541998.15,"101026900","Administratiivhoone","kasutusel",10059.9,"B","2013-06-05","Harju maakond, Tallinn, Kesklinna linnaosa, Suur-Ameerika tn 1 // Väike-Ameerika tn 2"
KL45346H1,true,"2012-04-05",ME00729509,6471621.83,529207.73,"103044436","Kohtuhoone","kasutusel",2491.2,"E","2010-01-04","Pärnu maakond, Pärnu linn, Kuninga tn 22"
KL45347H1,true,"2012-04-05",ME00729509,6471621.83,529207.73,"103044436","Kohtuhoone","kasutusel",2491.2,"E","2010-01-04","Pärnu maakond, Pärnu linn, Kuninga tn 22"
KL45387H1,true,"2012-04-16",ME00801592,6457796.61,411007.49,"106006497","Kohtuhoone","kasutusel",784.2,"H","2013-12-12","Saare maakond, Kuressaare linn, Lossi tn 2"
KL45439H1,true,"2012-09-13",ME00659470,6588316.85,542850.23,"101043825","Büroohoone","kasutusel",3441.6,"","","Harju maakond, Tallinn, Kesklinna linnaosa, Lembitu tn 10"
KL45643H1,true,"2012-05-10",ME01074649,6470573.98,593806.7,"112027412","Kohtuhoone","kasutusel",1886.2,"F","2011-08-01","Viljandi maakond, Viljandi linn, Koidu tn 5 // Posti tn 22"
KL45646H1,true,"2012-05-11",ME01074649,6470573.98,593806.7,"112027412","Kohtuhoone","kasutusel",1886.2,"F","2011-08-01","Viljandi maakond, Viljandi linn, Koidu tn 5 // Posti tn 22"
KL45652H1,true,"2012-05-11",ME01074649,6470573.98,593806.7,"112027412","Kohtuhoone","kasutusel",1886.2,"F","2011-08-01","Viljandi maakond, Viljandi linn, Koidu tn 5 // Posti tn 22"
KL45653H1,true,"2012-05-11",ME00705942,6471948.22,529671.03,"103016073","Büroohoone","kasutusel",358.5,"H","","Pärnu maakond, Pärnu linn, Pikk tn 16b"
KL45951H1,true,"2000-04-18",EE00952977,6518313.41,442577.22,"115013532","Kaksikelamu","kasutusel",107.7,"","","Hiiu maakond, Pühalepa vald, Salinõmme küla, Mäeotsa"
