kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL43790H1,true,"2011-12-12",ME00710823,6473697.61,538209.1,"103021908","Ambulatoorse arstiabi osutamise hoone","kasutusel",176.5,"","","Pärnu maakond, Sindi linn, Paide mnt 5"
KL43791H1,true,"2011-12-12",ME00901250,6598707.9,641827.43,"108004481","Muu erihoone","kasutusel",6.7,"","","Lääne-Viru maakond, Kunda linn, Pargi tn 30"
KL43793H1,true,"2011-12-12",,,,"107021449","","",300.8,"","",""
KL43794H1,true,"2011-12-12",ME00693037,6474195.31,520822.61,"103001752","Büroohoone","kasutusel",880.1,"","","Pärnu maakond, Audru vald, Audru alevik, Pärna allee 7"
KL43796H1,true,"1998-01-13",,,,"","","",,"","",""
KL43805H1,true,"2011-12-14",ME00985958,6441516.09,591074.38,"117003263","Muu büroo- või administratiivhoone","kasutusel",825.3,"","","Viljandi maakond, Karksi vald, Karksi-Nuia linn, Pärnu mnt 8"
KL43806H1,true,"1997-01-06",,,,"","Muu tööstuse laohoone","kasutusel",10792.2,"","",""
KL43807H1,true,"1997-10-07",,,,"","","",,"","",""
KL43808H1,true,"1997-11-27",,,,"","","",,"","",""
KL43809H2,true,"1998-06-30",,,,"","","",,"","",""
KL43810H1,true,"1998-01-27",,,,"","","",,"","",""
KL43811H1,true,"1998-06-30",,,,"","","",,"","",""
KL43812H2,true,"1998-01-27",,,,"","","",,"","",""
KL43813H1,true,"2011-07-06",,,,"","","",,"","",""
KL43814H1,true,"1998-01-26",,,,"","","",,"","",""
KL43815H1,true,"1996-01-02",ME00798710,6458145.54,410960.81,"106003326","Büroohoone","kasutusel",535.2,"G","2014-05-08","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43815H2,true,"1996-01-02",ME00798711,,,"106003327","Elamu, talu, kooli vms majapidamisabihoone, nagu näiteks kuur, individuaalgaraaž ja saun","kasutusel",318.5,"","","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43816H1,true,"2011-12-14",ME00695155,6438001.26,529586.93,"103004281","Ambulatoorse arstiabi osutamise hoone","kasutusel",858.6,"B","2012-04-04","Pärnu maakond, Häädemeeste vald, Häädemeeste alevik, Pärnu mnt 22"
KL43849H1,true,"1996-01-02",ME00798710,6458145.54,410960.81,"106003326","Büroohoone","kasutusel",535.2,"G","2014-05-08","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43850H1,true,"1996-01-02",ME00798710,6458145.54,410960.81,"106003326","Büroohoone","kasutusel",535.2,"G","2014-05-08","Saare maakond, Kuressaare linn, Kohtu tn 10"
KL43851H1,true,"1996-01-02",,,,"","","",1288.0,"","",""
KL43852H1,true,"1996-01-02",,,,"","","",1288.0,"","",""
KL43853H1,true,"1996-01-02",ME03333155,6438494.39,679594.25,"120692775","Büroohoone","kasutusel",1287.5,"F","2014-05-09","Põlva maakond, Põlva vald, Põlva linn, Puuri tee 1"
KL43854H1,true,"2011-12-20",ME00857436,6528848.69,590432.91,"107012861","Kohtuhoone","kasutusel",3077.6,"G","2013-10-11","Järva maakond, Paide linn, Tallinna tn 18"
KL43856H1,true,"1998-12-21",EE00921285,6581636.48,634407.54,"108011604","Muu kolme või enama korteriga elamu","kasutusel",844.3,"","","Lääne-Viru maakond, Rakvere linn, Võidu tn 38"
KL43857H1,true,"1998-12-21",EE00921285,6581636.48,634407.54,"108011604","Muu kolme või enama korteriga elamu","kasutusel",844.3,"","","Lääne-Viru maakond, Rakvere linn, Võidu tn 38"
KL43858H1,true,"1999-05-28",EE01651362,6471204.18,529038.21,"103028603","Büroohoone","kasutusel",1112.1,"E","2014-05-09","Pärnu maakond, Pärnu linn, P. Kerese tn 4"
